cost_item,unit,monthly_cost,notes
AiR dashboard,per client,225,was 250 through June 2026; 11 dashboards active Sept 2026 (1 internal)
CallRail - Avalon Hills,per client,369,pass-through
CallRail - Dr. K,per client,263,pass-through
CallRail - Healthcare Compliance Pros,per client,150,pass-through
Seona SEO,per client,65,pass-through
ADA compliance - Avalon Hills,per client,41.67,$500/yr of which $395 is fee
Design / web development,per hour,95,billed rate; list rate 125 (Santiam agreement)
Additional email blast,each,200,Santiam agreement
